LP002347,Male,Yes,0,Graduate,No,3246,1417,138,360,1,Semiurban,Y,
LP002348,Male,Yes,0,Graduate,No,5829,0,138,360,1,Rural,N,
LP002357,Female,No,0,Not Graduate,No,2720,0,80,,0,Urban,N,
LP002361,Male,Yes,0,Graduate,No,1820,1719,100,360,1,Urban,Y,
LP002362,Male,Yes,1,Graduate,No,7250,1667,110,,0,Urban,N,
LP002366,Male,Yes,0,Graduate,No,2666,4300,121,360,1,Rural,Y,
LP002367,Female,No,1,Not Graduate,No,4606,0,81,360,1,Rural,N,
LP002368,Male,Yes,2,Graduate,No,5935,0,133,360,1,Semiurban,Y,
LP002369,Male,Yes,0,Graduate,No,2920,16.12000084,87,360,1,Rural,Y,
LP002370,Male,No,0,Not Graduate,No,2717,0,60,180,1,Urban,Y,
LP002377,Female,No,1,Graduate,Yes,8624,0,150,360,1,Semiurban,Y,
LP002379,Male,No,0,Graduate,No,6500,0,105,360,0,Rural,N,
LP002387,Male,Yes,0,Graduate,No,2425,2340,143,360,1,Semiurban,Y,
LP002390,Male,No,0,Graduate,No,3750,0,100,360,1,Urban,Y,
LP002398,Male,No,0,Graduate,No,1926,1851,50,360,1,Semiurban,Y,
LP002407,Female,Yes,0,Not Graduate,Yes,7142,0,138,360,1,Rural,Y,
LP002418,Male,No,3+,Not Graduate,No,4707,1993,148,360,1,Semiurban,Y,
LP002429,Male,Yes,1,Graduate,Yes,3466,1210,130,360,1,Rural,Y,
LP002434,Male,Yes,2,Not Graduate,No,4652,0,110,360,1,Rural,Y,
LP002435,Male,Yes,0,Graduate,,3539,1376,55,360,1,Rural,N,
LP002443,Male,Yes,2,Graduate,No,3340,1710,150,360,0,Rural,N,
LP002446,Male,Yes,2,Not Graduate,No,2309,1255,125,360,0,Rural,N,
LP002447,Male,Yes,2,Not Graduate,No,1958,1456,60,300,,Urban,Y,
LP002448,Male,Yes,0,Graduate,No,3948,1733,149,360,0,Rural,N,
LP002449,Male,Yes,0,Graduate,No,2483,2466,90,180,0,Rural,Y,
LP002453,Male,No,0,Graduate,Yes,7085,0,84,360,1,Semiurban,Y,
LP002455,Male,Yes,2,Graduate,No,3859,0,96,360,1,Semiurban,Y,
LP002459,Male,Yes,0,Graduate,No,4301,0,118,360,1,Urban,Y,
LP002472,Male,No,2,Graduate,No,4354,0,136,360,1,Rural,Y,
LP002484,Male,Yes,3+,Graduate,No,7740,0,128,180,1,Urban,Y,
LP002489,Female,No,1,Not Graduate,,5191,0,132,360,1,Semiurban,Y,
LP002493,Male,No,0,Graduate,No,4166,0,98,360,0,Semiurban,N,
LP002494,Male,No,0,Graduate,No,6000,0,140,360,1,Rural,Y,
LP002500,Male,Yes,3+,Not Graduate,No,2947,1664,70,180,0,Urban,N,
LP002502,Female,Yes,2,Not Graduate,,210,2917,98,360,1,Semiurban,Y,
